1	[0.00655481219291687, 0.20802432298660278, 0.5258270502090454, 0.11147046089172363, -0.4418121874332428, -0.002509426325559616, -0.026733338832855225, -0.0060343146324157715, 0.08191269636154175, -0.17599475383758545, 0.6798623204231262, -0.029640700668096542, 0.09204632043838501, 0.32495442032814026, -0.01393716037273407, -0.5291160941123962, 0.4421122074127197, 0.0092715322971344, -0.7038329839706421, 0.43847206234931946, -0.21888381242752075, 0.010712504386901855, 0.011804580688476562, 0.6427383422851562, 0.15887236595153809, 0.006156276911497116, -0.09869381785392761, -0.03518635034561157, 0.26494038105010986, 0.03075993061065674, 0.011163830757141113, -0.1390538215637207, -0.017093181610107422, -0.13468557596206665, 0.17180845141410828, -0.6571465134620667, -0.2157961130142212, 0.04252767562866211, 0.007459338754415512, -0.14292824268341064, 0.059219956398010254, 0.17218291759490967, -0.031595826148986816, -0.1202353835105896, -0.006505072116851807, -0.053902268409729004, 0.3050989508628845, -0.04574847221374512, 0.008014567196369171, 0.1367754340171814, -0.2048901915550232, -0.03125329315662384, 0.2060893177986145, -0.0073990598320961, 0.04901552200317383, -0.20116060972213745, -0.35648852586746216, -0.014198541641235352, 0.037251949310302734, 0.30073803663253784, -0.3113051652908325, 0.11079341173171997, 0.3578977584838867, 0.0012418776750564575, -0.46514126658439636, 0.48223721981048584, 0.5203857421875, 0.1740105152130127, -0.28144288063049316, -0.13740390539169312, 0.04129838943481445, 0.02155900001525879, 0.23197096586227417, 0.5274760127067566, 0.12402307987213135, -0.016961514949798584, 0.0011638477444648743, -0.0009057708084583282, -0.022347450256347656, 0.1519559621810913, 0.0012850016355514526, 0.051061391830444336, -0.02489018440246582, 0.18490391969680786, -0.0488625168800354, 0.06231802701950073, 0.016076505184173584, 0.09966140985488892, -0.14662903547286987, 0.4032895565032959, -0.010634541511535645, -0.004646033048629761, 0.04592752456665039, -0.10259366035461426, 0.4381066858768463, 0.06405912339687347, 0.05544823408126831, 0.02706533670425415, -0.11002275347709656, -0.11006335914134979, 0.655981183052063, -0.4331202507019043, 0.43371862173080444, -0.5342839360237122, -0.11874973773956299, 0.331911563873291, 0.007807374000549316, 0.11915981769561768, -0.24969881772994995, -0.006428614258766174, -0.050677597522735596, -0.014069557189941406, -0.3810347318649292, 0.2149749994277954, 0.046307653188705444, -0.27814599871635437, 0.4104810953140259, 0.13508228957653046, -0.13276857137680054, -0.007247760891914368, 0.11381873488426208, 0.016357898712158203, -0.1051105260848999, 0.38536974787712097, 0.08467227220535278, -0.09400850534439087, -0.1040603518486023, -0.05134707689285278]
2	[0.08773547410964966, 0.39549142122268677, 0.9353237748146057, 0.3786926865577698, -0.732172966003418, -0.016396790742874146, -0.11710205674171448, -0.01129758358001709, 0.3438735008239746, -0.3236674666404724, 0.8534475564956665, -0.1794939488172531, 0.23912787437438965, 0.5567115545272827, -0.06720191240310669, -0.8049303293228149, 0.6782935261726379, 0.10914945602416992, -0.8165134787559509, -0.2178826928138733, -0.3288782238960266, 0.024965941905975342, 0.33706432580947876, 0.9592676162719727, 0.20522010326385498, -0.04552718997001648, -0.23988550901412964, -0.07452303171157837, 0.6794326305389404, 0.06157338619232178, -0.0024455785751342773, -0.1722835898399353, -0.023958444595336914, -0.2832663059234619, 0.19793201982975006, -0.7709892392158508, -0.34398216009140015, 0.16984468698501587, 0.033246785402297974, -0.4024001955986023, 0.06783837080001831, 0.7980242967605591, -0.027991026639938354, -0.18869167566299438, -0.006287711672484875, -0.2120673507452011, 0.6537727117538452, -0.08747333288192749, 0.04399365186691284, 0.2524462342262268, -0.7856386303901672, 0.02640196681022644, 0.502798318862915, 0.2667168080806732, 0.08334171772003174, -0.7104886770248413, -0.793892502784729, -0.013759820722043514, 0.07678592205047607, 0.8427655696868896, -0.41594475507736206, 0.17311495542526245, 0.7152050733566284, 0.004175528883934021, -0.6776344776153564, 0.6832258105278015, 0.07022249698638916, 0.3062902092933655, -0.35734832286834717, -0.2777366042137146, 0.0670819878578186, -0.05418553948402405, 0.5008293390274048, 0.9261579513549805, 0.18707412481307983, -0.026077091693878174, -0.0027926787734031677, -0.0022509172558784485, -0.03027290105819702, 0.37654370069503784, 0.015537172555923462, 0.14130234718322754, -0.12118339538574219, 0.15487049520015717, -0.07995623350143433, 0.09085977077484131, 0.021614432334899902, 0.17036843299865723, -0.18817618489265442, 0.3827710747718811, -0.026734620332717896, -0.027030587196350098, 0.11338996887207031, -0.13315284252166748, 0.6254703402519226, 0.3069104552268982, 0.08758246898651123, 0.03791618347167969, -0.14058345556259155, 0.7051649689674377, -0.8786850571632385, -0.6512609720230103, 0.6020124554634094, -0.7919384241104126, -0.25369250774383545, 0.6180269122123718, 0.0330425500869751, 0.1363147497177124, -0.38477063179016113, -0.014652475714683533, -0.07163441181182861, -0.040513038635253906, -0.42341041564941406, 0.4165743887424469, 0.054230883717536926, -0.7068770527839661, 0.8134428858757019, 0.3042219281196594, -0.26302289962768555, -0.0024169087409973145, 0.6195539236068726, 0.030439049005508423, -0.19968193769454956, 0.7472976446151733, 0.1431383490562439, -0.11229017376899719, -0.23764139413833618, -0.1564764380455017]
3	[-0.7633078694343567, 0.43760573863983154, -0.9901444911956787, 0.9996851086616516, -0.7210585474967957, -0.8171000480651855, 0.9641852974891663, -0.22135356068611145, 0.8950654864311218, -0.6393737196922302, 0.6325339078903198, -0.9371289014816284, 0.7722983360290527, 0.6260229349136353, 0.75565505027771, 0.4760168194770813, -0.894126296043396, 0.9703330993652344, -0.6537284255027771, -0.9418109655380249, -0.03345775604248047, -0.9952564239501953, 0.9864883422851562, 0.9852545261383057, 0.7772353291511536, -0.8469933271408081, -0.43321308493614197, 0.22743332386016846, 0.5218322277069092, 0.9670644402503967, 0.016023576259613037, -0.3515812158584595, -0.2061249017715454, 0.9169303178787231, -0.4478875696659088, -0.7851608991622925, -0.30264943838119507, -0.934906542301178, 0.24856698513031006, -0.8389875292778015, 0.1313779354095459, -0.9298763275146484, -0.08682239055633545, -0.447751522064209, 0.02144545316696167, 0.3941936194896698, -0.990156888961792, -0.2942858338356018, 0.796076238155365, 0.3262038230895996, -0.9999138712882996, 0.7264816761016846, -0.9355473518371582, -0.8902243375778198, -0.595142126083374, 0.9947636723518372, -0.9604731202125549, 0.2916579246520996, -0.9620910286903381, -0.9984119534492493, 0.17194676399230957, -0.06717097759246826, -0.528171956539154, 0.0867202877998352, 0.8421311378479004, 0.7698923349380493, -0.8683601021766663, 0.7732755541801453, -0.37792396545410156, -0.9042799472808838, -0.9100833535194397, -0.9906973838806152, -0.9472131729125977, -0.5908423662185669, -0.15010756254196167, 0.18454456329345703, -0.26638421416282654, 0.8399977684020996, 0.4427374601364136, -0.7870556116104126, 0.792731761932373, -0.9161180853843689, 0.9992649555206299, 0.35698625445365906, -0.06732535362243652, 0.2214893102645874, 0.39023202657699585, 0.4435388445854187, -0.6218072175979614, -0.7588344216346741, 0.9838191866874695, 0.913755476474762, 0.8546063899993896, -0.30612653493881226, 0.9001884460449219, 0.9271333813667297, 0.15793830156326294, 0.07133853435516357, -0.16293573379516602, 0.1688629388809204, -0.9953476190567017, -0.4597702622413635, 0.06129974126815796, -0.9197039604187012, 0.779340922832489, 0.7260422110557556, -0.9543421268463135, 0.13804829120635986, -0.8726034760475159, 0.05892573297023773, 0.7963387966156006, -0.16316723823547363, -0.48967307806015015, -0.5707712173461914, -0.4695773720741272, -0.32753774523735046, -0.964230477809906, -0.035548508167266846, 0.04087287187576294, 0.1696833372116089, 0.9146242141723633, -0.6685396432876587, 0.1611766815185547, 0.9492204189300537, -0.14377069473266602, 0.6090155839920044, -0.8861292004585266, -0.6806497573852539]
4	[0.12527120113372803, 0.43011289834976196, 0.9048905372619629, 0.9992059469223022, 0.9099002480506897, -0.8215780258178711, 0.10104554891586304, 0.7308560609817505, -0.2374500036239624, -0.8259369730949402, -0.8278589248657227, -0.9515627026557922, 0.9823328256607056, 0.61885666847229, 0.8812506794929504, 0.7979984283447266, -0.6540234088897705, 0.9601501226425171, 0.833398163318634, -0.9779565334320068, 0.3169395327568054, -0.9797074794769287, 0.9611611366271973, 0.8934669494628906, 0.8911486864089966, -0.4997867941856384, 0.7468241453170776, 0.5295500755310059, 0.5246198773384094, 0.9551804065704346, -0.23020364344120026, -0.7867849469184875, 0.9907322525978088, -0.5545967221260071, -0.3801897168159485, 0.962091863155365, -0.3547406792640686, -0.40137821435928345, -0.8722375631332397, 0.0635521411895752, 0.12954074144363403, 0.6343265175819397, -0.18396323919296265, -0.5065224170684814, 0.049353718757629395, -0.9150094389915466, -0.4656079411506653, 0.9950729608535767, 0.2858046293258667, 0.669296383857727, 0.0182502381503582, -0.4648386240005493, 0.9960827827453613, 0.9970445036888123, -0.7772345542907715, 0.9397143721580505, -0.7801046371459961, 0.30731266736984253, 0.8913142085075378, 0.10197311639785767, 0.7792313098907471, -0.04725892096757889, -0.5071600675582886, 0.12510597705841064, 0.6750327944755554, 0.7074829936027527, 0.6850734949111938, -0.7793948650360107, -0.34024205803871155, 0.2509422302246094, -0.9566675424575806, -0.6281400322914124, -0.9952855110168457, -0.6752033233642578, 0.986239492893219, 0.18435776233673096, -0.5457327365875244, 0.833642840385437, -0.3874911665916443, 0.9785349369049072, 0.6951103806495667, 0.6593575477600098, -0.8619059324264526, 0.3659594655036926, 0.8898820877075195, -0.6516220569610596, 0.7379706501960754, 0.1788124442100525, 0.756061315536499, -0.7844939231872559, 0.9848012328147888, -0.8174594044685364, 0.3294984698295593, -0.3131352365016937, -0.391021192073822, 0.9146507978439331, -0.04555779695510864, 0.060473620891571045, -0.206292986869812, -0.0556870698928833, -0.9901484251022339, -0.2509274482727051, 0.0928773283958435, -0.9214186072349548, 0.2584264576435089, 0.44004082679748535, -0.5686373114585876, 0.236772358417511, -0.29415684938430786, -0.48974013328552246, -0.7379729747772217, 0.8312274217605591, 0.07276856899261475, -0.7197033166885376, -0.38205671310424805, -0.9696086645126343, -0.760938823223114, 0.8728192448616028, 0.19542580842971802, 0.8409222364425659, -0.9102120995521545, -0.31358402967453003, 0.22331851720809937, 0.9990956783294678, 0.998490035533905, -0.7927032709121704, -0.6788293123245239, 0.8708266615867615]
5	[0.1252206265926361, 0.44811803102493286, 0.9100862145423889, 0.9989632368087769, 0.978476881980896, -0.8216213583946228, 0.13107669353485107, 0.7270143032073975, -0.12283903360366821, -0.8215770721435547, -0.686128556728363, -0.5699186325073242, 0.9558437466621399, 0.6090255379676819, 0.8811866641044617, 0.7637633085250854, -0.5595481991767883, 0.9601553678512573, 0.8273646831512451, -0.9598874449729919, 0.19731169939041138, -0.979701042175293, 0.9610713720321655, 0.8954302668571472, 0.8909855484962463, -0.033611297607421875, 0.7427310347557068, 0.5393896102905273, 0.8792711496353149, 0.9553101062774658, -0.22981935739517212, -0.7830079793930054, 0.9878535270690918, 0.015932202339172363, -0.37642598152160645, 0.9320555925369263, -0.35688742995262146, -0.3988026976585388, -0.8736521005630493, -0.19030064344406128, 0.13222718238830566, 0.9531570672988892, -0.36548787355422974, -0.5029807090759277, -0.49094700813293457, -0.9154161214828491, -0.8160396814346313, 0.9950646162033081, 0.296644926071167, -0.5609663128852844, 0.07113593816757202, -0.6449419260025024, 0.9948335886001587, 0.8290551900863647, -0.7752477526664734, 0.9338592886924744, -0.7801177501678467, 0.3228411078453064, 0.8886103630065918, 0.09403568506240845, 0.279339075088501, 0.08712852001190186, 0.1664314866065979, 0.12207692861557007, -0.58604896068573, 0.8466523885726929, 0.6968614459037781, -0.707228422164917, -0.326801598072052, 0.22145813703536987, -0.08269977569580078, -0.6366477608680725, -0.9102593660354614, -0.737299919128418, 0.9809188842773438, 0.1887167990207672, -0.5553486347198486, 0.8336578011512756, -0.3928784132003784, 0.9754537343978882, 0.6946445107460022, 0.6593559384346008, -0.8608515858650208, 0.36300188302993774, 0.8714012503623962, -0.6427891850471497, 0.7379267811775208, 0.1793423295021057, 0.7589602470397949, -0.8122459053993225, 0.9742832183837891, -0.8294233083724976, 0.3294924795627594, -0.3157252073287964, 0.5155175924301147, 0.9143656492233276, -0.04304369539022446, -0.07043474912643433, -0.20191287994384766, -0.02692246437072754, -0.9901036620140076, -0.7637934684753418, 0.1489163637161255, -0.9206203818321228, 0.14917141199111938, 0.40964275598526, -0.3590673804283142, 0.05292630195617676, -0.300113320350647, -0.2895820736885071, -0.7375531196594238, 0.8309155106544495, 0.06761425733566284, -0.7164707779884338, -0.2926630973815918, -0.9691082835197449, -0.7585545182228088, 0.8555233478546143, -0.211647629737854, 0.8137288093566895, -0.897721529006958, -0.31933069229125977, -0.04743582010269165, 0.9950783252716064, 0.9965517520904541, -0.7840960621833801, -0.6740128993988037, 0.759068489074707]
6	[0.15039700269699097, 0.8353498578071594, 0.984631359577179, 0.9889234304428101, -0.49520349502563477, -0.8227277398109436, 0.3876004219055176, 0.721656084060669, 0.404802143573761, -0.8195343613624573, 0.40669846534729004, 0.05416594445705414, 0.9591034054756165, 0.42697834968566895, 0.5133431553840637, -0.37366968393325806, 0.3151969015598297, 0.9604157209396362, 0.3748553395271301, -0.9977283477783203, -0.24184203147888184, -0.9759371280670166, 0.9630647897720337, 0.9857383966445923, 0.8764200210571289, -0.7380460500717163, 0.6779718995094299, 0.5552173852920532, 0.8877082467079163, 0.9560514688491821, -0.22747254371643066, -0.7978677749633789, 0.980235755443573, 0.6819705963134766, -0.08803856372833252, 0.7281029224395752, -0.5203258991241455, -0.1296522617340088, -0.8683699369430542, -0.8113871812820435, 0.13459622859954834, 0.9954617619514465, -0.6702162027359009, -0.5278200507164001, -0.3638991713523865, -0.924266517162323, 0.5490151643753052, 0.9948390126228333, 0.37735819816589355, -0.33053022623062134, -0.9698168039321899, -0.6070168018341064, 0.987006425857544, 0.963908851146698, -0.7516472339630127, 0.6079716682434082, -0.8180478811264038, 0.3220442533493042, 0.8768634796142578, 0.1957065463066101, -0.6713229417800903, 0.6503411531448364, 0.5756230354309082, 0.12089560925960541, -0.78687584400177, 0.9760719537734985, -0.25195181369781494, -0.07605674862861633, -0.3370512127876282, 0.10592228174209595, 0.29315418004989624, -0.11526107788085938, -0.8684815764427185, 0.7010314464569092, 0.9812663793563843, 0.14196282625198364, -0.5954780578613281, 0.833782434463501, -0.43140000104904175, 0.9745263457298279, 0.6930012702941895, 0.6601328253746033, -0.8509677052497864, 0.5848996639251709, 0.829899787902832, -0.633637011051178, 0.7380852699279785, 0.1847781538963318, 0.6219499707221985, -0.9609691500663757, 0.6869362592697144, -0.8650960326194763, 0.33079516887664795, -0.3191305994987488, -0.23356857895851135, 0.8353911638259888, 0.17683380842208862, 0.08719450235366821, -0.29967451095581055, 0.39803346991539, -0.9445255994796753, -0.8660963773727417, 0.4015566110610962, -0.9637148380279541, -0.12793362140655518, -0.7444239854812622, -0.27974334359169006, 0.11279410123825073, -0.40203458070755005, -0.1215316653251648, -0.7416715025901794, 0.8271335363388062, 0.030265212059020996, -0.7390440106391907, -0.0768963098526001, -0.9735625982284546, -0.5252173542976379, 0.40218305587768555, -0.25242507457733154, 0.8121739625930786, -0.018113523721694946, -0.122806616127491, -0.6752550601959229, 0.9980029463768005, 0.9873445630073547, -0.7804327011108398, -0.7034580111503601, 0.2682785093784332]
7	[0.39275258779525757, 0.9519580006599426, 0.9198158383369446, 0.9596757292747498, -0.9067678451538086, -0.8256676197052002, 0.5038607120513916, 0.715051531791687, 0.7104832530021667, -0.8543118834495544, 0.5824099779129028, 0.31001192331314087, 0.9572017192840576, 0.02698603644967079, 0.06902915239334106, -0.8069758415222168, -0.6457024812698364, 0.9629246592521667, 0.016763627529144287, -0.999547004699707, -0.45530515909194946, -0.9720274209976196, 0.9768434762954712, 0.9905514121055603, 0.8646837472915649, -0.9436056017875671, 0.6587566137313843, 0.5836006999015808, 0.9042444229125977, 0.9568434357643127, -0.22689491510391235, -0.8010075688362122, 0.9771737456321716, 0.8966472744941711, 0.4066125750541687, 0.6965346336364746, -0.5666866302490234, 0.770193874835968, -0.8685256242752075, -0.9576420783996582, 0.13505125045776367, 0.9989664554595947, -0.7761172652244568, -0.5374438762664795, -0.33614444732666016, -0.9734071493148804, 0.7492887377738953, 0.9939171671867371, 0.4264518916606903, -0.2168225347995758, -0.9915791749954224, -0.5540953278541565, 0.9875149130821228, 0.993805468082428, -0.7514593601226807, -0.7107401490211487, -0.8706819415092468, 0.32228410243988037, 0.877771258354187, -0.5240373611450195, -0.8080616593360901, 0.7452346086502075, 0.7258183360099792, 0.11916583776473999, -0.7017646431922913, 0.9958471059799194, -0.34280645847320557, 0.19137735664844513, -0.34431707859039307, -0.10402041673660278, 0.3493552505970001, 0.22471728920936584, -0.9841375946998596, 0.5912038683891296, 0.9844101667404175, 0.14018040895462036, -0.6154155731201172, 0.8317965865135193, -0.44792211055755615, 0.9679710865020752, 0.6952414512634277, 0.6641338467597961, -0.7992316484451294, 0.803251326084137, 0.8021935224533081, -0.6259576082229614, 0.7381830811500549, 0.18994763493537903, 0.5836375951766968, -0.9963971376419067, 0.38228297233581543, -0.8887804746627808, 0.3307390809059143, -0.3210793733596802, 0.03581729531288147, 0.8160073757171631, 0.3645581007003784, 0.15652483701705933, -0.3404790163040161, 0.8247345685958862, -0.9888578057289124, -0.9247669577598572, 0.4841262102127075, -0.9933786988258362, -0.5622012615203857, -0.9894296526908875, -0.1452091783285141, 0.12407439947128296, -0.44109421968460083, -0.22349447011947632, -0.7347525954246521, 0.8266065120697021, 0.0074364542961120605, -0.687487781047821, -0.0499824583530426, -0.919998049736023, -0.13538312911987305, -0.2701820731163025, -0.3223199248313904, 0.8120990991592407, 0.22287940979003906, -0.10550643503665924, -0.7748625874519348, 0.9997650980949402, 0.9869157671928406, -0.769359827041626, -0.8027799129486084, 0.08322882652282715]
8	[0.7072294354438782, 0.9621678590774536, -0.8929623961448669, 0.1350957751274109, -0.8765490055084229, -0.8277620077133179, -0.9311527609825134, 0.6764858961105347, 0.759340226650238, 0.817192792892456, 0.5791290402412415, -0.42950063943862915, 0.9694125056266785, 0.1595148742198944, 0.16817718744277954, -0.8720032572746277, -0.9301693439483643, 0.9739387631416321, 0.053986310958862305, -0.9979245662689209, -0.4402194023132324, -0.9667520523071289, 0.9981110095977783, -0.9864129424095154, 0.6975160241127014, 0.9365946054458618, 0.6802374124526978, 0.6163386106491089, -0.936464250087738, 0.649013340473175, -0.22617453336715698, -0.8012876510620117, 0.97715163230896, -0.9695767760276794, 0.5837944746017456, 0.7031155824661255, -0.3986935615539551, 0.8989621996879578, -0.8723689913749695, 0.5430165529251099, 0.14371982216835022, 0.9994646310806274, -0.8844673037528992, -0.47889745235443115, -0.35871970653533936, -0.9957236051559448, -0.9934983849525452, 0.9922642111778259, 0.5692725777626038, -0.034465789794921875, 0.8979402780532837, -0.1928246021270752, 0.9874416589736938, 0.9976203441619873, -0.7518506646156311, -0.9751904606819153, -0.2840281128883362, 0.34199899435043335, 0.9495866894721985, -0.939949631690979, -0.7628390789031982, 0.7052032947540283, 0.4759964346885681, 0.07547235488891602, -0.3498745560646057, 0.836912989616394, 0.021028101444244385, -0.5063189268112183, -0.336734414100647, 0.48711198568344116, 0.5060809254646301, 0.6303091049194336, -0.9997561573982239, -0.9255577921867371, 0.8857397437095642, 0.14152616262435913, -0.610877275466919, 0.8136900067329407, -0.7165259122848511, 0.9063242673873901, -0.9809294939041138, 0.9474279880523682, 0.4274786412715912, -0.829707682132721, 0.8048654198646545, -0.722993791103363, 0.7379785776138306, 0.1686740517616272, 0.8657524585723877, -0.9993695020675659, 0.023768246173858643, -0.9995347261428833, 0.3493444323539734, -0.32284367084503174, -0.3194187581539154, 0.8279007077217102, 0.38041260838508606, 0.6504330635070801, -0.18693050742149353, 0.844454288482666, -0.9886442422866821, 0.31545889377593994, 0.39326798915863037, 0.9815356731414795, -0.13650743663311005, -0.9945249557495117, -0.2157863974571228, 0.13091766834259033, -0.4068385362625122, -0.937119722366333, -0.5842375159263611, 0.8267048001289368, 0.016707032918930054, -0.7147096395492554, 0.0028423070907592773, -0.8946422338485718, -0.17639702558517456, 0.7023358345031738, 0.5333597660064697, 0.8340554237365723, 0.6107757687568665, -0.31685924530029297, -0.6900427341461182, 0.9526274800300598, 0.9891932606697083, -0.46941012144088745, 0.8881176710128784, 0.8443311452865601]
9	[-0.9213554263114929, 0.9900291562080383, -0.9550694823265076, -0.9981355667114258, -0.8884114027023315, -0.8460285663604736, 0.1901172399520874, -0.0623709037899971, -0.831312358379364, -0.8839972019195557, -0.07425796985626221, 0.6819978356361389, -0.7572211623191833, -0.6713863611221313, -0.9597979784011841, -0.6444169878959656, -0.9456603527069092, 0.990863561630249, 0.23243993520736694, -0.9982221126556396, -0.9813243746757507, 0.9087222814559937, 0.9989171624183655, -0.9577261805534363, -0.6815729737281799, -0.36949798464775085, 0.8312126398086548, 0.5494555830955505, -0.9345544576644897, -0.9036257863044739, -0.09614545106887817, 0.5302665829658508, 0.977558970451355, 0.759621262550354, 0.9735175371170044, 0.7057470679283142, 0.9728982448577881, 0.9128825664520264, -0.7462927103042603, 0.8712739944458008, 0.27331724762916565, -0.8111798167228699, -0.9997401237487793, -0.9459279179573059, -0.9850333333015442, -0.9617252945899963, -0.9822251200675964, 0.9920483827590942, 0.9376816749572754, -0.31596633791923523, 0.9673294425010681, 0.13787823915481567, -0.5649065375328064, 0.9011069536209106, -0.6859579086303711, -0.9765199422836304, 0.5968022346496582, 0.8418182730674744, -0.9940152168273926, -0.9413836002349854, -0.6602931022644043, -0.8850684762001038, 0.7569130659103394, -0.8738540410995483, -0.12034010887145996, 0.9672533273696899, -0.6104390621185303, -0.8870638012886047, 0.46257197856903076, -0.9009488224983215, -0.051020294427871704, 0.9905092716217041, -0.9994701147079468, -0.9979305267333984, 0.8946362733840942, 0.23331397771835327, -0.9789614677429199, 0.8455467224121094, 0.5085183382034302, -0.36731624603271484, 0.6803423166275024, 0.5981411933898926, 0.9914001822471619, 0.9591955542564392, 0.8478664755821228, -0.6468004584312439, 0.7294862270355225, -0.9430657625198364, -0.48349523544311523, -0.9989480972290039, 0.9300107955932617, 0.9476051926612854, 0.6622386574745178, -0.11398425698280334, -0.5125952363014221, 0.3527873158454895, -0.9406958222389221, -0.9840807914733887, 0.6509045362472534, 0.6319547295570374, -0.9996682405471802, 0.7653359770774841, 0.16950255632400513, -0.9349311590194702, -0.9322293400764465, -0.9956405162811279, 0.9920372366905212, -0.11933481693267822, -0.35451364517211914, 0.9962745308876038, -0.04323720932006836, 0.4667172133922577, 0.19795536994934082, -0.7439669370651245, -0.38559797406196594, 0.274116575717926, -0.3604270815849304, -0.726929783821106, 0.536841869354248, 0.7373080253601074, 0.7768170237541199, -0.9282530546188354, -0.4987858533859253, -0.2920910716056824, 0.7353051900863647, -0.07039755582809448, 0.9012092351913452, 0.8900710344314575]
10	[-0.9207926392555237, 0.9900153279304504, -0.9550526738166809, -0.9981359243392944, 0.9223379492759705, -0.8460590839385986, 0.18525707721710205, -0.04173213243484497, -0.8312932252883911, -0.8811590075492859, -0.10718220472335815, 0.3820311725139618, -0.4791431427001953, -0.6719100475311279, -0.9582810401916504, -0.6472837924957275, -0.9455737471580505, 0.9908724427223206, 0.17804470658302307, -0.776073157787323, -0.9813476204872131, 0.9053252935409546, 0.9989169239997864, -0.9567998647689819, -0.6331014037132263, -0.27209413051605225, 0.8141286373138428, 0.5288474559783936, -0.9529321789741516, -0.8648380041122437, -0.09597641229629517, 0.5321269631385803, 0.9771534204483032, 0.553451418876648, 0.9735387563705444, 0.8689281940460205, 0.9728717803955078, 0.9127917289733887, -0.7468053698539734, 0.8711844086647034, 0.30132412910461426, -0.9105195999145508, -0.9996589422225952, -0.9457544684410095, -0.9882791042327881, -0.9622406959533691, -0.9822827577590942, 0.991307258605957, 0.9319359064102173, -0.820129930973053, 0.9673262238502502, -0.4520576000213623, -0.5307408571243286, 0.9011037349700928, -0.6871391534805298, -0.976549506187439, 0.596876859664917, 0.8420706391334534, -0.9797593951225281, -0.941211462020874, -0.6812313795089722, -0.8824594616889954, 0.7565155625343323, -0.873044490814209, -0.01617676019668579, 0.6975778341293335, -0.5984208583831787, -0.9177552461624146, 0.9626463055610657, -0.9009866118431091, -0.06721946597099304, 0.9905542135238647, -0.8318297266960144, -0.9979259371757507, 0.8749158978462219, 0.2333155870437622, -0.9789825081825256, 0.8455573320388794, 0.4231646656990051, -0.39209142327308655, 0.6589754223823547, 0.5967039465904236, 0.9912453889846802, 0.9576901793479919, 0.8441882729530334, 0.033188581466674805, 0.7239729762077332, -0.9426450729370117, -0.1615724265575409, -0.9910283088684082, 0.929975152015686, 0.9277735948562622, 0.6621142029762268, 0.3305218815803528, -0.30111193656921387, 0.3526185154914856, -0.9402539730072021, -0.9833688735961914, 0.6512685418128967, 0.6477309465408325, -0.9433864951133728, 0.5425302386283875, 0.28745412826538086, -0.9259793162345886, -0.9238649010658264, -0.989576518535614, 0.9920373558998108, -0.048668742179870605, -0.35460788011550903, 0.9718801379203796, -0.051093995571136475, 0.45229989290237427, 0.9624585509300232, -0.7261337041854858, -0.3720960021018982, 0.2832205295562744, -0.360418438911438, -0.7213036417961121, 0.6778626441955566, 0.5940083265304565, 0.7759622931480408, -0.928191065788269, -0.49879857897758484, -0.303016722202301, 0.53235924243927, 0.6532025337219238, 0.9037752151489258, 0.7675641179084778]
