Loading data from  ./data/binary/2dets_4negs/578/binary_2dets_4negs_578_train.txt
Vocabulary: 
 ['Europeans', 'Germans', 'Italians', 'Romans', 'all', 'children', 'fear', 'hate', 'like', 'love', 'not', 'some']
Relations:  
 ['#', '<', '=', '>', '^', 'v', '|']
Loading data from  ./data/binary/2dets_4negs/578/binary_2dets_4negs_56789_test.txt


MODEL SETTINGS
Model:                  tRNN
Train data:             ./data/binary/2dets_4negs/578/binary_2dets_4negs_578_train.txt
Test data:              ./data/binary/2dets_4negs/578/binary_2dets_4negs_56789_test.txt
Num. epochs:            50
Word dim.:              25
Cpr. dim.:              75
Batch size:             32
Shuffle samples:        True
Weight initialization:  xavier_uniform
Optimizer:              Adadelta
L2 penalty:             0.001
Num. train instances:   30834
Num. test instances:    5449


EPOCH 	 ACCURACY
0 	 19.42
1 	 65.81
2 	 72.71
3 	 74.80
4 	 78.42
5 	 81.46
6 	 83.02
7 	 84.16
8 	 85.17
9 	 85.58
10 	 85.54
11 	 86.53
12 	 86.42
13 	 86.46
14 	 86.53
15 	 88.05
16 	 87.85
17 	 88.02
18 	 87.94
19 	 88.86
20 	 88.77
21 	 88.42
22 	 88.60
23 	 88.77
24 	 88.51
25 	 87.89
26 	 89.14
27 	 88.81
28 	 89.69
29 	 89.94
30 	 88.02
31 	 89.89
32 	 89.36
33 	 89.28
34 	 89.25
35 	 88.64
36 	 89.76
37 	 89.58
38 	 89.14
39 	 90.13
40 	 89.91
41 	 89.92
42 	 90.71
43 	 89.28
44 	 89.85
45 	 89.72
46 	 90.18
47 	 90.33
48 	 90.09
49 	 89.92
50 	 89.92
