Loading data from  ./data/binary/2dets_4negs/binary_2dets_4negs_train.txt
Vocabulary: 
 ['Europeans', 'Germans', 'Italians', 'Romans', 'all', 'children', 'fear', 'hate', 'like', 'love', 'not', 'some']
Relations:  
 ['#', '<', '=', '>', '^', 'v', '|']
Loading data from  ./data/binary/2dets_4negs/binary_2dets_4negs_test.txt


MODEL SETTINGS
Model:                  tRNN
Train data:             ./data/binary/2dets_4negs/binary_2dets_4negs_train.txt
Test data:              ./data/binary/2dets_4negs/binary_2dets_4negs_test.txt
Num. epochs:            50
Word dim.:              25
Cpr. dim.:              75
Batch size:             32
Shuffle samples:        True
Weight initialization:  xavier_uniform
Optimizer:              Adadelta
L2 penalty:             0.001
Num. train instances:   29900
Num. test instances:    7500


EPOCH 	 ACCURACY
0 	 16.85
1 	 66.68
2 	 71.87
3 	 76.23
4 	 81.11
5 	 81.39
6 	 86.23
7 	 84.99
8 	 87.00
9 	 87.91
10 	 87.97
11 	 89.16
12 	 87.72
13 	 89.59
14 	 89.32
15 	 89.85
16 	 89.89
17 	 89.72
18 	 90.51
19 	 89.24
20 	 90.12
21 	 90.13
22 	 90.69
23 	 90.76
24 	 90.63
25 	 91.09
26 	 90.67
27 	 91.45
28 	 90.48
29 	 91.32
30 	 91.31
31 	 91.84
32 	 91.33
33 	 91.57
34 	 91.25
35 	 91.44
36 	 91.64
37 	 91.49
38 	 91.43
39 	 91.88
40 	 91.83
41 	 91.69
42 	 91.67
43 	 91.75
44 	 91.89
45 	 92.80
46 	 92.52
47 	 92.25
48 	 91.45
49 	 92.73
50 	 91.72
