Loading data from  ./data/binary/2dets_4negs/binary_2dets_4negs_train.txt
Vocabulary: 
 ['Europeans', 'Germans', 'Italians', 'Romans', 'all', 'children', 'fear', 'hate', 'like', 'love', 'not', 'some']
Relations:  
 ['#', '<', '=', '>', '^', 'v', '|']
Loading data from  ./data/binary/2dets_4negs/binary_2dets_4negs_test.txt


MODEL SETTINGS
Model:                  tRNTN
Train data:             ./data/binary/2dets_4negs/binary_2dets_4negs_train.txt
Test data:              ./data/binary/2dets_4negs/binary_2dets_4negs_test.txt
Num. epochs:            50
Word dim.:              25
Cpr. dim.:              75
Batch size:             32
Shuffle samples:        True
Weight initialization:  xavier_uniform
Optimizer:              Adadelta
L2 penalty:             0.001
Num. train instances:   29900
Num. test instances:    7500


EPOCH 	 ACCURACY
0 	 20.47
1 	 90.31
2 	 92.31
3 	 92.20
4 	 93.07
5 	 92.99
6 	 93.49
7 	 93.93
8 	 94.56
9 	 94.69
10 	 94.48
11 	 94.45
12 	 94.71
13 	 94.97
14 	 94.67
15 	 95.05
16 	 94.56
17 	 95.27
18 	 94.99
19 	 95.24
20 	 94.61
21 	 94.81
22 	 95.27
23 	 95.83
24 	 95.72
25 	 95.75
26 	 94.89
27 	 95.12
28 	 95.08
29 	 95.89
30 	 95.36
31 	 95.16
32 	 95.32
33 	 95.85
34 	 95.67
35 	 96.01
36 	 95.81
37 	 95.81
38 	 95.52
39 	 95.36
40 	 95.56
41 	 95.64
42 	 95.64
43 	 95.87
44 	 96.04
45 	 95.53
46 	 95.35
47 	 95.81
48 	 95.77
49 	 96.13
50 	 95.81
