Loading data from  ./data/binary/2dets_4negs/binary_2dets_4negs_train.txt
Vocabulary: 
 ['(', ')', 'Europeans', 'Germans', 'Italians', 'Romans', 'all', 'children', 'fear', 'hate', 'like', 'love', 'not', 'some']
Relations:  
 ['#', '<', '=', '>', '^', 'v', '|']
Loading data from  ./data/binary/2dets_4negs/binary_2dets_4negs_test.txt


MODEL SETTINGS
Model:                  sumNN
Train data:             ./data/binary/2dets_4negs/binary_2dets_4negs_train.txt
Test data:              ./data/binary/2dets_4negs/binary_2dets_4negs_test.txt
Num. epochs:            50
Word dim.:              25
Cpr. dim.:              75
Batch size:             32
Shuffle samples:        True
Weight initialization:  None
Optimizer:              Adadelta
L2 penalty:             0.0003
Num. train instances:   29900
Num. test instances:    7500


EPOCH 	 ACCURACY
0 	 7.21
1 	 34.16
2 	 38.08
3 	 40.03
4 	 39.59
5 	 40.53
6 	 40.16
7 	 41.48
8 	 40.35
9 	 41.57
10 	 40.07
11 	 41.80
12 	 41.25
13 	 42.89
14 	 44.08
15 	 44.36
16 	 44.13
17 	 44.20
18 	 46.28
19 	 45.28
20 	 46.07
21 	 43.88
22 	 46.23
23 	 47.13
24 	 46.25
25 	 47.05
26 	 46.69
27 	 46.72
28 	 46.88
29 	 47.79
30 	 48.04
31 	 48.63
32 	 47.83
33 	 46.67
34 	 47.20
35 	 47.16
36 	 48.05
37 	 48.81
38 	 48.93
39 	 47.45
40 	 48.83
41 	 47.41
42 	 48.40
43 	 49.65
44 	 48.89
45 	 48.53
46 	 48.11
47 	 47.71
48 	 48.51
49 	 48.36
50 	 47.35

Total running time:  70m 7s
