Loading data from  ./data/binary/negate_det1/split/binary1_neg_det1_train.txt
Vocabulary: 
 ['Europeans', 'Germans', 'Italians', 'Romans', 'all', 'children', 'fear', 'hate', 'like', 'love', 'not', 'some']
Relations:  
 ['#', '<', '=', '>', '^', 'v', '|']
Loading data from  ./data/binary/negate_det1/split/binary1_neg_det1_test.txt


MODEL SETTINGS
Tensors on/off:         False
Train data:             ./data/binary/negate_det1/split/binary1_neg_det1_train.txt
Test data:              ./data/binary/negate_det1/split/binary1_neg_det1_test.txt
Num. epochs:            50
Word dim.:              25
Cpr. dim.:              75
Batch size:             32
Shuffle samples:        True
Weight initialization:  xavier_uniform
Optimizer:              Adadelta
L2 penalty:             0.001
Num. train instances:   27961
Num. test instances:    6173


EPOCH 	 ACCURACY
0 	 15.66
1 	 75.26
2 	 82.93
3 	 86.31
4 	 85.60
5 	 86.25
6 	 88.55
7 	 87.38
8 	 88.29
9 	 87.69
10 	 89.26
11 	 90.13
12 	 90.54
13 	 93.07
14 	 93.57
15 	 94.33
16 	 94.95
17 	 95.30
18 	 95.43
19 	 95.93
20 	 96.05
21 	 96.26
22 	 96.21
23 	 96.10
24 	 96.27
25 	 96.40
26 	 96.26
27 	 96.65
28 	 96.32
29 	 96.14
30 	 96.27
31 	 96.27
32 	 96.73
33 	 97.07
34 	 96.66
35 	 96.92
36 	 96.94
37 	 96.79
38 	 96.60
39 	 97.08
40 	 97.13
41 	 96.84
42 	 97.12
43 	 96.92
44 	 97.07
45 	 96.53
46 	 96.70
47 	 97.18
48 	 96.84
49 	 96.95
50 	 96.89
