Loading data from  ./data/binary/negate_verb/split/binary1_neg_verbtrain.txt
Vocabulary: 
 ['Europeans', 'Germans', 'Italians', 'Romans', 'all', 'children', 'fear', 'hate', 'like', 'love', 'not', 'some']
Relations:  
 ['#', '<', '=', '>', '^', 'v', '|']
Loading data from  ./data/binary/negate_verb/split/binary1_neg_verbtest.txt


MODEL SETTINGS
Tensors on/off:         False
Train data:             ./data/binary/negate_verb/split/binary1_neg_verbtrain.txt
Test data:              ./data/binary/negate_verb/split/binary1_neg_verbtest.txt
Num. epochs:            50
Word dim.:              25
Cpr. dim.:              75
Batch size:             32
Shuffle samples:        True
Weight initialization:  xavier_uniform
Optimizer:              Adadelta
L2 penalty:             0.001
Num. train instances:   24337
Num. test instances:    6249


EPOCH 	 ACCURACY
0 	 12.83
1 	 88.73
2 	 92.75
3 	 95.17
4 	 93.78
5 	 93.42
6 	 96.14
7 	 94.91
8 	 96.56
9 	 95.62
10 	 95.95
11 	 96.03
12 	 94.75
13 	 96.64
14 	 95.98
15 	 95.20
16 	 96.26
17 	 96.66
18 	 96.74
19 	 96.08
20 	 96.32
21 	 96.13
22 	 97.02
23 	 96.59
24 	 97.33
25 	 96.62
26 	 96.62
27 	 97.25
28 	 96.61
29 	 97.28
30 	 96.85
31 	 97.14
32 	 97.18
33 	 97.15
34 	 97.46
35 	 97.38
36 	 97.36
37 	 97.15
38 	 97.23
39 	 96.16
40 	 97.12
41 	 97.22
42 	 96.13
43 	 97.15
44 	 97.42
45 	 96.10
46 	 97.50
47 	 97.14
48 	 97.23
49 	 97.74
50 	 97.62
