Loading data from  ./data/binary/split/binary1_train.txt
Vocabulary: 
 ['Europeans', 'Germans', 'Italians', 'Romans', 'all', 'children', 'fear', 'hate', 'like', 'love', 'not', 'some']
Relations:  
 ['#', '<', '=', '>', '^', 'v', '|']
Loading data from  ./data/binary/split/binary1_test.txt


MODEL SETTINGS
Tensors on/off:         True
Train data:             ./data/binary/negate_det1/split/binary1_train.txt
Test data:              ./data/binary/negate_det1/split/binary1_test.txt
Num. epochs:            50
Word dim.:              25
Cpr. dim.:              75
Batch size:             32
Shuffle samples:        True
Weight initialization:  xavier_uniform
Optimizer:              Adadelta
L2 penalty:             0.001
Num. train instances:   27961
Num. test instances:    6173


EPOCH 	 ACCURACY
0 	 11.97
1 	 89.45
2 	 92.26
3 	 92.82
4 	 95.45
5 	 94.75
6 	 95.45
7 	 95.74
8 	 96.21
9 	 95.98
10 	 96.24
11 	 95.90
12 	 96.18
13 	 95.53
14 	 96.37
15 	 96.60
16 	 96.05
17 	 96.47
18 	 95.89
19 	 95.80
20 	 96.37
21 	 95.79
22 	 96.21
23 	 95.98
24 	 95.24
25 	 96.31
26 	 96.45
27 	 96.32
28 	 95.45
29 	 96.87
30 	 97.05
31 	 96.05
32 	 96.78
33 	 96.73
34 	 96.86
35 	 97.08
36 	 96.99
37 	 97.20
38 	 97.00
39 	 96.37
40 	 95.97
41 	 96.79
42 	 96.76
43 	 97.20
44 	 96.71
45 	 96.92
46 	 97.23
47 	 96.70
48 	 97.20
49 	 97.42
50 	 97.60
