Loading data from  ./data/binary/negate_det1/split/binary1_neg_det1_train.txt
Vocabulary: 
 ['Europeans', 'Germans', 'Italians', 'Romans', 'all', 'children', 'fear', 'hate', 'like', 'love', 'not', 'some']
Relations:  
 ['#', '<', '=', '>', '^', 'v', '|']
Loading data from  ./data/binary/negate_det1/split/binary1_neg_det1_test.txt


MODEL SETTINGS
Model:                  tRNTN
Train data:             ./data/binary/negate_det1/split/binary1_neg_det1_train.txt
Test data:              ./data/binary/negate_det1/split/binary1_neg_det1_test.txt
Num. epochs:            50
Word dim.:              25
Cpr. dim.:              75
Batch size:             32
Shuffle samples:        True
Weight initialization:  xavier_uniform
Optimizer:              Adadelta
L2 penalty:             0.001
Num. train instances:   27961
Num. test instances:    6173


EPOCH 	 ACCURACY
0 	 13.35
1 	 89.29
2 	 93.08
3 	 92.65
4 	 93.50
5 	 94.82
6 	 95.24
7 	 93.58
8 	 95.58
9 	 94.61
10 	 95.08
11 	 94.46
12 	 93.93
13 	 95.22
14 	 94.85
15 	 95.38
16 	 96.18
17 	 95.58
18 	 96.10
19 	 96.08
20 	 95.43
21 	 95.92
22 	 96.29
23 	 95.92
24 	 96.05
25 	 95.71
26 	 95.76
27 	 96.23
28 	 96.81
29 	 96.37
30 	 96.58
31 	 95.97
32 	 96.36
33 	 96.68
34 	 96.27
35 	 96.26
36 	 96.29
37 	 96.76
38 	 96.29
39 	 97.13
40 	 96.39
41 	 96.42
42 	 96.94
43 	 97.44
44 	 97.44
45 	 96.86
46 	 97.08
47 	 96.94
48 	 96.82
49 	 96.65
50 	 96.57
