Loading data from  ./data/binary/neg_det1_noun1_verb_noun2/binary2_4negs_train.txt
Vocabulary: 
 ['Europeans', 'Germans', 'Italians', 'Romans', 'all', 'children', 'fear', 'hate', 'like', 'love', 'not', 'some', 'two']
Relations:  
 ['#', '<', '=', '>', '^', 'v', '|']
Loading data from  ./data/binary/neg_det1_noun1_verb_noun2/binary2_4negs_test.txt


MODEL SETTINGS
Model:                  sumNN
Train data:             ./data/binary/neg_det1_noun1_verb_noun2/binary2_4negs_train.txt
Test data:              ./data/binary/neg_det1_noun1_verb_noun2/binary2_4negs_test.txt
Num. epochs:            50
Word dim.:              25
Cpr. dim.:              75
Batch size:             32
Shuffle samples:        True
Weight initialization:  xavier_uniform
Optimizer:              Adadelta
L2 penalty:             0.001
Num. train instances:   25854
Num. test instances:    1582


EPOCH 	 ACCURACY
0 	 8.98
1 	 62.64
2 	 62.77
3 	 62.71
4 	 63.91
5 	 64.60
6 	 65.23
7 	 65.99
8 	 67.00
9 	 67.95
10 	 70.10
11 	 71.05
12 	 73.01
13 	 73.39
14 	 74.91
15 	 75.92
16 	 76.61
17 	 74.65
18 	 77.94
19 	 77.12
20 	 78.76
21 	 77.18
22 	 78.82
23 	 79.77
24 	 80.28
25 	 80.28
26 	 79.46
27 	 80.85
28 	 80.53
29 	 80.03
30 	 82.11
31 	 80.28
32 	 80.78
33 	 82.17
34 	 82.05
35 	 82.30
36 	 80.78
37 	 80.34
38 	 81.48
39 	 81.92
40 	 81.98
41 	 80.59
42 	 82.36
43 	 81.10
44 	 80.47
45 	 81.48
46 	 81.04
47 	 81.48
48 	 81.48
49 	 82.87
50 	 81.10
