Loading data from  ./data/binary/negate_noun1/split/binary1_neg_noun1train.txt
Vocabulary: 
 ['Europeans', 'Germans', 'Italians', 'Romans', 'all', 'children', 'fear', 'hate', 'like', 'love', 'not', 'some']
Relations:  
 ['#', '<', '=', '>', '|']
Loading data from  ./data/binary/negate_noun1/split/binary1_neg_noun1test.txt


MODEL SETTINGS
Model:                  tRNTN
Train data:             ./data/binary/negate_noun1/split/binary1_neg_noun1train.txt
Test data:              ./data/binary/negate_noun1/split/binary1_neg_noun1test.txt
Num. epochs:            50
Word dim.:              25
Cpr. dim.:              75
Batch size:             32
Shuffle samples:        True
Weight initialization:  xavier_uniform
Optimizer:              Adadelta
L2 penalty:             0.001
Num. train instances:   18674
Num. test instances:    5026


EPOCH 	 ACCURACY
0 	 25.81
1 	 90.97
2 	 94.19
3 	 94.89
4 	 95.86
5 	 95.19
6 	 96.62
7 	 96.30
8 	 96.26
9 	 95.36
10 	 96.16
11 	 96.70
12 	 96.66
13 	 96.64
14 	 95.50
15 	 97.02
16 	 95.62
17 	 96.12
18 	 96.66
19 	 97.17
20 	 95.90
21 	 96.10
22 	 96.08
23 	 96.82
24 	 96.98
25 	 97.63
26 	 97.10
27 	 97.12
28 	 96.76
29 	 96.88
30 	 97.17
31 	 97.41
32 	 96.94
33 	 97.12
34 	 97.17
35 	 96.06
36 	 96.90
37 	 97.00
38 	 97.12
39 	 95.20
40 	 97.35
41 	 97.71
42 	 96.86
43 	 97.83
44 	 97.39
45 	 96.56
46 	 97.89
47 	 97.77
48 	 97.99
49 	 97.47
50 	 97.33
