Loading data from  ./data/unary/fol/fol_animals_train_translated_from_nl.txt
Vocabulary: 
 ['(', ')', 'all', 'growl', 'lt_three', 'lt_two', 'mammals', 'move', 'no', 'not', 'not_all', 'pets', 'reptiles', 'some', 'swim', 'three', 'turtles', 'two', 'walk', 'warthogs']
Relations:  
 ['#', '<', '=', '>', '^', 'v', '|']
Loading data from  ./data/unary/fol/fol_animals_test_translated_from_nl.txt


MODEL SETTINGS
Model:                  sumNN
Train data:             ./data/unary/fol/fol_animals_train_translated_from_nl.txt
Test data:              ./data/unary/fol/fol_animals_test_translated_from_nl.txt
Num. epochs:            50
Word dim.:              25
Cpr. dim.:              75
Batch size:             32
Shuffle samples:        True
Weight initialization:  None
Optimizer:              Adadelta
L2 penalty:             0.0003
Num. train instances:   21856
Num. test instances:    4494


EPOCH 	 ACCURACY
0 	 9.19
1 	 61.86
2 	 68.34
3 	 71.50
4 	 75.86
5 	 77.04
6 	 80.28
7 	 80.60
8 	 82.98
9 	 84.45
10 	 84.00
11 	 84.53
12 	 85.47
13 	 84.22
14 	 85.91
15 	 85.89
16 	 86.52
17 	 85.54
18 	 86.25
19 	 86.72
20 	 86.72
21 	 84.62
22 	 85.49
23 	 86.34
24 	 87.29
25 	 86.38
26 	 85.87
27 	 87.72
28 	 88.14
29 	 86.78
30 	 87.74
31 	 86.43
32 	 87.41
33 	 88.18
34 	 87.69
35 	 87.78
36 	 87.61
37 	 87.47
38 	 87.67
39 	 88.05
40 	 87.78
41 	 88.25
42 	 86.94
43 	 88.25
44 	 88.58
45 	 88.50
46 	 88.47
47 	 88.10
48 	 88.45
49 	 88.12
50 	 87.21

Total running time:  31m 18s
