Loading data from  ./data/unary/fol/fol_data1_peopletrain.txt
Vocabulary: 
 ['(', ')', 'Europeans', 'Germans', 'Italians', 'Romans', 'all', 'children', 'clean', 'laugh', 'lt_three', 'lt_two', 'no', 'not', 'not_all', 'some', 'teach', 'three', 'two', 'work']
Relations:  
 ['#', '<', '=', '>', '^', 'v', '|']
Loading data from  ./data/unary/fol/fol_data1_peopletest.txt


MODEL SETTINGS
Model:                  sumNN
Train data:             ./data/unary/fol/fol_data1_peopletrain.txt
Test data:              ./data/unary/fol/fol_data1_peopletest.txt
Num. epochs:            50
Word dim.:              25
Cpr. dim.:              75
Batch size:             32
Shuffle samples:        True
Weight initialization:  None
Optimizer:              Adadelta
L2 penalty:             0.0003
Num. train instances:   29787
Num. test instances:    6872


EPOCH 	 ACCURACY
0 	 7.17
1 	 50.92
2 	 57.92
3 	 63.72
4 	 64.76
5 	 67.35
6 	 67.51
7 	 68.50
8 	 68.55
9 	 70.27
10 	 69.11
11 	 70.24
12 	 70.91
13 	 71.23
14 	 70.46
15 	 71.70
16 	 71.30
17 	 70.85
18 	 71.17
19 	 71.94
20 	 72.37
21 	 71.83
22 	 71.13
23 	 71.51
24 	 71.81
25 	 72.47
26 	 73.11
27 	 73.46
28 	 73.81
29 	 72.93
30 	 73.37
31 	 73.11
32 	 73.78
33 	 73.72
34 	 73.66
35 	 74.17
36 	 73.70
37 	 74.80
38 	 75.00
39 	 74.51
40 	 75.33
41 	 75.04
42 	 74.85
43 	 74.80
44 	 75.64
45 	 75.84
46 	 74.80
47 	 74.80
48 	 74.24
49 	 74.99
50 	 74.01

Total running time:  44m 14s
